Standard_Work,Book,Chapter,Verse,Citations,Text,Chapter_Verse_Count
New Testament,John,8,12,17,"Then spake Jesus again unto them, saying, I am the light of the world: he that followeth me shall not walk in darkness, but shall have the light of life.",59
Book of Mormon,3 Nephi,11,40,17,"And whoso shall declare more or less than this, and establish it for my doctrine, the same cometh of evil, and is not built upon my rock; but he buildeth upon a sandy foundation, and the gates of hell stand open to receive such when the floods come and the winds beat upon them.",41
New Testament,John,3,17,17,For God sent not his Son into the world to condemn the world; but that the world through him might be saved.,36
Doctrine and Covenants,Doctrine and Covenants,88,63,17,"Draw near unto me and I will draw near unto you; seek me diligently and ye shall find me; ask, and ye shall receive; knock, and it shall be opened unto you.",141
New Testament,Matthew,25,35,17,"For I was an hungred, and ye gave me meat: I was thirsty, and ye gave me drink: I was a stranger, and ye took me in:",46
New Testament,Luke,22,42,17,"Saying, Father, if thou be willing, remove this cup from me: nevertheless not my will, but thine, be done.",71
Pearl of Great Price,Moses,7,18,17,"And the Lord called his people Zion, because they were of one heart and one mind, and dwelt in righteousness; and there was no poor among them.",69
Doctrine and Covenants,Doctrine and Covenants,121,8,17,"And then, if thou endure it well, God shall exalt thee on high; thou shalt triumph over all thy foes.",46
Book of Mormon,2 Nephi,31,2,17,"Wherefore, the things which I have written sufficeth me, save it be a few words which I must speak concerning the doctrine of Christ; wherefore, I shall speak unto you plainly, according to the plainness of my prophesying.",21
Book of Mormon,Alma,36,19,17,"And now, behold, when I thought this, I could remember my pains no more; yea, I was harrowed up by the memory of my sins no more.",30
Doctrine and Covenants,Doctrine and Covenants,121,1,17,"O God, where art thou? And where is the pavilion that covereth thy hiding place?",46
Book of Mormon,2 Nephi,2,7,17,"Behold, he offereth himself a sacrifice for sin, to answer the ends of the law, unto all those who have a broken heart and a contrite spirit; and unto none else can the ends of the law be answered.",30
Book of Mormon,Alma,32,42,17,"And because of your diligence and your faith and your patience with the word in nourishing it, that it may take root in you, behold, by and by ye shall pluck the fruit thereof, which is most precious, which is sweet above all that is sweet, and which is white above all that is white, yea, and pure above all that is pure; and ye shall feast upon this fruit even until ye are filled, that ye hunger not, neither shall ye thirst.",43
New Testament,Matthew,7,7,17,"Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:",29
Doctrine and Covenants,Doctrine and Covenants,110,9,17,"Yea the hearts of thousands and tens of thousands shall greatly rejoice in consequence of the blessings which shall be poured out, and the endowment with which my servants have been endowed in this house.",16
Book of Mormon,1 Nephi,14,14,17,"And it came to pass that I, Nephi, beheld the power of the Lamb of God, that it descended upon the saints of the church of the Lamb, and upon the covenant people of the Lord, who were scattered upon all the face of the earth; and they were armed with righteousness and with the power of God in great glory.",30
New Testament,Acts,10,38,17,"How God anointed Jesus of Nazareth with the Holy Ghost and with power: who went about doing good, and healing all that were oppressed of the devil; for God was with him.",48
New Testament,John,13,35,17,"By this shall all men know that ye are my disciples, if ye have love one to another.",38
Book of Mormon,Mosiah,18,21,17,"And he commanded them that there should be no contention one with another, but that they should look forward with one eye, having one faith and one baptism, having their hearts knit together in unity and in love one towards another.",35
Book of Mormon,2 Nephi,31,8,17,"Wherefore, after he was baptized with water the Holy Ghost descended upon him in the form of a dove.",21
Book of Mormon,Alma,32,28,17,"Now, we will compare the word unto a seed. Now, if ye give place, that a seed may be planted in your heart, behold, if it be a true seed, or a good seed, if ye do not cast it out by your unbelief, that ye will resist the Spirit of the Lord, behold, it will begin to swell within your breasts; and when you feel these swelling motions, ye will begin to say within yourselves—It must needs be that this is a good seed, or that the word is good, for it beginneth to enlarge my soul; yea, it beginneth to enlighten my understanding, yea, it beginneth to be delicious to me.",43
Book of Mormon,Alma,5,13,17,"And behold, he preached the word unto your fathers, and a mighty change was also wrought in their hearts, and they humbled themselves and put their trust in the true and living God. And behold, they were faithful until the end; therefore they were saved.",62
New Testament,Ephesians,1,10,17,"That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him:",23
Book of Mormon,Moroni,7,13,17,"But behold, that which is of God inviteth and enticeth to do good continually; wherefore, every thing which inviteth and enticeth to do good, and to love God, and to serve him, is inspired of God.",48
New Testament,Matthew,28,19,16,"Go ye therefore, and teach all nations, baptizing them in the name of the Father, and of the Son, and of the Holy Ghost:",20
Book of Mormon,Moroni,4,3,16,"O God, the Eternal Father, we ask thee in the name of thy Son, Jesus Christ, to bless and sanctify this bread to the souls of all those who partake of it; that they may eat in remembrance of the body of thy Son, and witness unto thee, O God, the Eternal Father, that they are willing to take upon them the name of thy Son, and always remember him, and keep his commandments which he hath given them, that they may always have his Spirit to be with them. Amen.",3
Book of Mormon,Alma,5,33,16,"Behold, he sendeth an invitation unto all men, for the arms of mercy are extended towards them, and he saith: Repent, and I will receive you.",62
Old Testament,Isaiah,61,3,16,"To appoint unto them that mourn in Zion, to give unto them beauty for ashes, the oil of joy for mourning, the garment of praise for the spirit of heaviness; that they might be called trees of righteousness, the planting of the Lord, that he might be glorified.",11
Old Testament,Isaiah,53,4,16,"Surely he hath borne our griefs, and carried our sorrows: yet we did esteem him stricken, smitten of God, and afflicted.",12
Book of Mormon,3 Nephi,11,9,16,"And it came to pass that he stretched forth his hand and spake unto the people, saying:",41
Book of Mormon,Mosiah,5,7,16,"And now, because of the covenant which ye have made ye shall be called the children of Christ, his sons, and his daughters; for behold, this day he hath spiritually begotten you; for ye say that your hearts are changed through faith on his name; therefore, ye are born of him and have become his sons and his daughters.",15
